species,card_short_name,count,gene_list
Shigella dysenteriae,cpxA,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,EC-14,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,Ecol_EFTu_PLV,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Enterobacter cloacae,aadA16,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,OXA-1,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,sul1,4,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,tet(A),1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,AAC(6')-Ib9,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,FosA2,2,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,CRP,2,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
