Prevalence Sequence ID,CARD Short Name,species_count
35354,qacE,5
6279,evgA,5
49897,aadA16,5
47,aadS,5
131933,AAC(6')-Ib9,5
168195,tet(M),5
153848,CARB-3,5
127423,OXA-9,5
12713,AAC(6')-Ib9,5
47617,AAC(6')-Ib7,5
14807,mdtA,5
35411,sul1,5
3433,tet(M),5
169374,tet(S),5
35554,qacE,5
133479,KPC-6,5
12289,qacJ,5
5831,qacG,5
3833,APH(2'')-If,5
12541,aadA3,5
14510,aadA,5
38069,sul1,5
14726,aadA,5
3452,tetB(P),5
167483,ErmB,5
88384,sul1,5
14524,AcrE,5
131028,tet(A),5
48719,sul2,5
208438,aad(6),5
33103,aadA,5
2951,SAT-4,5
14357,aadA23,5
122517,tet(D),5
32106,sul1,5
118549,dfrA31,5
128857,cmlA4,5
11839,qacEdelta1,5
174019,qacJ,5
118901,dfrA6,5
173985,ErmB,5
32085,catB3,5
173984,aad(6),5
5975,tet(D),5
40935,APH(3'')-Ib,5
32916,aadA2,5
118550,QnrVC5,5
121240,sul1,5
173982,vatE,5
208425,dfrK,5
40859,sul2,5
135738,AAC(3)-Ia,5
127779,tet(D),5
14994,ANT(3'')-IIa,5
40858,AAC(6')-Ib10,5
33405,APH(3'')-Ib,5
173944,optrA,5
48540,qacE,5
14999,dfrA7,5
48656,sul3,5
17890,Ecol_AcrR_MULT,4
14122,NPS-1,4
14507,Ecol_MarR_MULT,4
149811,rsmA,4
8852,qacEdelta1,4
49782,sul1,4
14526,TolC,4
14338,Ecol_emrE,4
14527,emrB,4
19907,TEM-135,4
18165,tet(C),4
47964,aadA4,4
14508,aadA8,4
14073,adeF,4
59580,ANT(3'')-IIa,4
13982,AAC(6')-Ib10,4
149701,PER-4,4
18262,Ecol_EFTu_PLV,4
44623,APH(3'')-Ib,4
102320,rmtD,4
18255,APH(3'')-Ib,4
8953,APH(6)-Ic,4
12804,AAC(6')-Ib10,4
12803,APH(3'')-Ib,4
14610,cmlA6,4
14611,cmlA5,4
14612,sul1,4
17421,adeF,4
17406,aadA3,4
9086,IMP-11,4
14319,Kpne_KpnE,4
14616,mdtH,4
17307,aadA12,4
17065,sul2,4
20456,AAC(6')-Ib-cr6,4
20457,catB3,4
20522,sul1,4
17060,floR,4
58034,qacEdelta1,4
208004,PC1_blaZ,4
14530,evgS,4
20223,aadA17,4
67934,AAC(6')-IIa,4
7245,AAC(6')-Ib10,4
14535,mdtC,4
207588,APH(6)-Id,4
68050,IMP-6,4
14315,H-NS,4
207982,Saur_mupA_MUP,4
9008,dfrA12,4
14537,mdtA,4
147879,tet(D),4
50003,qacEdelta1,4
12975,AAC(6')-Ib9,4
14553,Ecol_gyrA_FLO,4
14555,Ecol_MarR_MULT,4
17600,AAC(6')-Ib7,4
12953,catB3,4
101898,dfrA16,4
7556,ANT(3'')-IIa,4
13840,dfrB5,4
45212,AAC(3)-IIc,4
49266,AAC(6')-Ib,4
7340,CRP,4
7643,APH(3'')-Ib,4
13387,TEM-109,4
14501,mdtP,4
14450,Ecol_EFTu_PLV,4
14452,aadA8,4
19273,sul2,4
149416,qacG,4
14473,mdtF,4
148793,catQ,4
14474,AcrF,4
7683,Kpne_KpnE,4
45244,cmlA5,4
14375,cpxA,4
66552,AAC(3)-IIc,4
44853,APH(6)-Id,4
149083,adeF,4
14414,Ecol_EFTu_PLV,4
66675,PER-7,4
19183,aadA2,4
103348,sul1,4
64732,tet(A),4
103243,TEM-205,4
7349,Ecol_MarR_MULT,4
65261,AAC(6')-Ib,4
13527,AAC(6')-Ib-cr5,4
149178,qacJ,4
149234,lnuA,4
7475,AAC(6')-Ib10,4
13526,catB3,4
44688,catB3,4
14348,Ecol_AcrR_MULT,4
61792,aadA8,4
61784,ANT(3'')-IIa,4
14491,marA,4
67070,aadA6/aadA10,4
8226,aadA3,4
14495,mdtG,4
14496,kdpE,4
14475,AcrE,4
14500,eptA,4
14502,cpxA,4
14347,Ecol_MarR_MULT,4
102979,GES-11,4
14505,Hinf_PBP3_BLA,4
109332,sul1,4
60182,AAC(3)-IIc,4
8830,cmlB1,4
14497,acrB,4
179606,lnuA,4
149613,qacJ,4
178843,qacJ,4
149629,dfrG,4
14476,AcrS,4
14478,TolC,4
18357,CTX-M-232,4
63136,ANT(3'')-IIa,4
8099,qacJ,4
14480,emrA,4
14482,emrK,4
14483,emrY,4
14484,PmrF,4
48875,qacEdelta1,4
7335,H-NS,4
14485,YojI,4
18334,AAC(6')-Ib-cr6,4
7336,marA,4
15555,mdtG,4
174114,msrA,4
15554,mdtH,4
53235,sul2,4
14863,Ecol_GlpT_FOF,4
15547,YojI,4
15545,evgS,4
14874,aadA,4
11340,ANT(3'')-IIa,4
9643,ANT(3'')-IIa,4
123008,OXA-58,4
15428,AAC(3)-IIc,4
15426,sul2,4
